id,team,gained_lp,interval_winrate
MadLife#1212,[MadLife],22,100%
토게데마루#777,Talon [Azhi],21,60%
Karis#KR4,[Karis],21,50%
Peyz#KR11,JD Gaming [Peyz],21,53%
夜奏花#KR11,Talon [Karsa],21,53%
레 이#0315,[Ray],21,100%
Morgan#5358,OKSavingsBank BRION [Morgan],20,50%
짱 구#Zero,[Zzanggu],19,53%
ckadmfdls#zypp,[Vsta],17,60%
이성조#KR1,[Hood],16,50%
메 피#KR1,[Mephi],14,57%
kiin#KR1,Gen.G [Kiin],10,50%
Ping9#qwerr,[Ping9],9,50%
맘순이#이뻐해줘,Dplus KIA Academy [Celina],8,54%
StephanFelix2#Hope,Bilibili Gaming [Wei],8,36%
Cuzz#KR1,KT Rolster [Cuzz],7,50%
Minit#0203,[Minit],4,57%
메가 지니#0831,KT Rolster Challengers [Zinie],3,50%
김병만#걔그맨,KT Rolster [Cuzz],0,0%
세이미#0924,[Saymi],0,0%
LSB Diable#KR1,BNK FEARX [Diable],0,0%
손가락 발가락#KR2,[SoaR],0,0%
정재이스#617,[Phantom],0,0%
07년생 티모장인#KR1,[Untara],0,0%
Mata#0227,T1 [Mata],0,0%
의 주#트리거,[Trigger],0,0%
멍란1#yaha,NS RedForce Academy [Carim],0,50%
sanghyxxn#KR1,[Kabbie],0,0%
Sponge#KR2,DRX [Sponge],0,52%
wwwwaaac#KR1,[Light],0,0%
엉덩국 갱승제로#KR1,[GankZero],0,0%
올차단유저#약오르지,[FLahm],0,50%
좋은날#KR1,KT Rolster [Score],0,0%
Some1likeu#KR2,Unicorns of Love Sexy Edition [TolanD],-1,0%
Im necessary#KR1,DetonatioN FocusMe [Harp],-1,33%
Lure#0516,Hanwha Life Esports Challengers [Lure],-2,50%
난벌레곰팡이다#1111,[CloudTemplar],-2,50%
대기만성#KR3,Hanwha Life Esports Challengers [Grizzly],-3,50%
Duro#Gen,Gen.G [Duro],-5,50%
Vincenzo#kr40,[Vincenzo],-5,50%
쭌 베#KR1,[Bay],-5,0%
댕청잇#KR123,BNK FEARX [Kellin],-5,50%
승 구#오 구,[Savage],-5,50%
와하항#kr0,OKSavingsBank BRION [HamBak],-5,0%
04년생원숭이띠#0323,Gen.G Challengers [HorangE],-5,20%
