id,team,gained_lp,interval_winrate
김구거#0207,OKSavingsBank BRION [GuGer],-22,40%
vinaka#KR1,Top Esports [Kanavi],-22,33%
夜奏花#KR11,Talon [Karsa],-25,33%
폭삭늙음#삼대떡,[Ambition],-25,44%
Radiohead#KR1,[Clid],-26,43%
JUGKlNG#kr,Gen.G [Canyon],-26,0%
HorangE#fa04,Gen.G Challengers [HorangE],-34,25%
Yena3#yaha,EDward Gaming [Clearlove],-35,25%
지지오오앤지#KR1,VSG (Korean Team) [Ggoong],-36,38%
인천물주먹#인천사람,OKSavingsBank BRION [Clozer],-37,0%
FA holder#KR2,[Holder],-38,0%
Guti#0409,[Guti],-39,47%
사 용 수#KR1,[Destroy],-40,25%
mtrngrxsyl#6146,JD Gaming [MISSING],-40,0%
Peyz#KR11,JD Gaming [Peyz],-41,0%
Pollu#0107,OKSavingsBank BRION [Pollu],-42,0%
Asper#KR2,[Asper],-44,33%
귀찮게하지마#KR3,Gen.G [Ruler],-44,0%
StephanFelix2#Hope,Bilibili Gaming [Wei],-45,0%
말랑은행#8760,Fukuoka SoftBank Hawks Gaming [Gaeng],-48,38%
라쿤99#KR1,[Racoon],-54,40%
Call of Silence#CN1,Gen.G Academy [Dooly],-62,20%
qsxmiocmio#KR1,Top Esports [369],-63,20%
따개비루#Toye,Gen.G Academy [Toye],-68,20%
흠 그러게요#けんきょ,[Dice],-69,29%
Just NT#1211,V3 Esports [TaNa],-73,0%
관 모#KR2,T1 Challengers [Guwon],-86,33%
TT SeTab#2025,DRX [SeTab],-94,27%
terren1234#KR2,Dplus KIA Challengers [Thumb],-105,31%
검은머리사나이#KR1,[Fly],-173,24%
