id,team,gained_lp,interval_winrate
미북이#KR1,LNG Esports [Scout],124,52%
어리고싶다#KR1,T1 [Doran],121,53%
25hdp#JDG,JD Gaming [Yagao],113,46%
T1 Ella#1995,Winners [Ella],110,80%
Cheoni#처 니,[Cheoni],105,50%
에이밍#xxxx,Dplus KIA [Aiming],105,50%
쿠 로#KR1,[Kuro],103,55%
DRX Alive#Alive,DRX Challengers [Alive],102,54%
JUGKlNG#kr,Gen.G [Canyon],102,47%
shi yu yuan wei#KR1,Ninjas in Pyjamas [shanji],101,52%
백 호#9005,[BaeKHo],98,53%
Blue#KR33,Hanwha Life Esports [Viper],96,55%
대광#God,BNK FEARX [VicLa],94,52%
이성조#KR1,[Hood],91,50%
귀찮게하지마#KR3,Gen.G [Ruler],91,55%
명구리버드#1234,[Tempt],90,57%
Yena3#yaha,EDward Gaming [Clearlove],86,51%
CHAMA#KR87,LOUD [croc],84,51%
DRX#kr11,DRX [Pleata],84,52%
qweasdqweasdqw#KR1,Top Esports [JackeyLove],81,53%
XiaoHuaSheng7#KR1,Hanwha Life Esports [Peanut],81,54%
ADFADGFAC#KR1,[5kid],80,50%
카제로스fan#KR1,[Totoro],80,75%
midqvq9#KR11,Talon [FoFo],75,70%
The BE4st#KR1,[Beast],73,59%
Cookie#Coach,[Cookie],70,75%
좋은날#KR1,KT Rolster [Score],69,100%
qazwsx#abc,[Art],63,51%
구르시#녹서스,T1 [Gumayusi],61,60%
Mata#0227,T1 [Mata],60,100%
시비걸면지상렬#KR1,JD Gaming [sheer],60,52%
StephanFelix2#Hope,Bilibili Gaming [Wei],59,41%
CCrazy#KR1,Galatasaray Esports [Crazy],54,55%
Lure#0516,Hanwha Life Esports Challengers [Lure],54,55%
말랑은행#8760,Fukuoka SoftBank Hawks Gaming [Gaeng],53,52%
시작이 제일 무서워#미루니,Kwangdong Freecs Academy [Pressure],50,67%
ADINAKIGN#7339,Talon [Betty],46,57%
Helper#0324,Gen.G [Helper],45,55%
사옥 지박령#KR4,T1 [Smash],45,75%
Heart#KR1,[Doinb],41,52%
Morgan#5358,OKSavingsBank BRION [Morgan],36,55%
dade#늙은이,[dade],36,50%
04년생원숭이띠#0323,Gen.G Challengers [HorangE],35,33%
라꼴통#KR1,[Ragan],34,56%
gougoujingzhang#KR12,CTBC Flying Oyster [Doggo],33,67%
Some1likeu#KR2,Unicorns of Love Sexy Edition [TolanD],30,25%
KT Paduck#2232,DRX Challengers [Paduck],30,100%
YURI#KR00,[Scarlet],29,40%
비비드#비비드,[viviD],28,51%
Pollu#0107,OKSavingsBank BRION [Pollu],26,50%
Soopsik#KR2,DN Freecs [Pyosik],26,51%
검주니어#0001,[Oscar],26,51%
적수가없는사람#KR1,BNK FEARX [Diable],25,63%
ckadmfdls#zypp,[Vsta],24,54%
96년생 티모장인#9202,[Untara],22,52%
토게데마루#777,Talon [Azhi],21,60%
김병만#걔그맨,KT Rolster [Cuzz],20,50%
Key#9987,[Key],15,33%
DK Siwoo#DKtop,Dplus KIA [Siwoo],12,51%
Hengismyson#123,Dplus KIA [Moham],11,50%
DK Garden#jiman,Dplus KIA Challengers [Garden],10,100%
Jarvis#KR11,[Rascal],10,33%
Guti#0409,[Guti],9,50%
Bell Park#KR1,[BlisS],7,52%
남 궁#KR2,Gen.G Challengers [Namgung],3,51%
메 피#KR1,[Mephi],2,52%
태 윤#KDF,DN Freecs [Taeyoon],1,50%
Juhana#DRX,DRX [Juhan],0,0%
Riris#KR2,VSG (Korean Team) [Riris],0,0%
jkjkjkjkk#KR1,Dplus KIA Challengers [Wayne],0,0%
밤이싫어#kr9,[Hena],0,0%
arrowIoI#KR1,FlyQuest [Arrow],0,0%
pvman#KR1,[Rush],0,0%
장삼봉#1987,[Cain],0,0%
고슴도치#KR123,[Deft],0,0%
GGGori#KR1,CTBC Flying Oyster [Gori],0,0%
겸손하라#KR11,[Envyy],0,0%
07년생 티모장인#KR1,[Untara],0,0%
김정현#Kjh1,BNK FEARX Youth [Willer],0,0%
coldoutside#KR1,Hanwha Life Esports [Mowgli],0,0%
Daito fan#JPno1,Sengoku Gaming [Jett],0,0%
쿠자니#KR1,[Kuzan],0,0%
OnFleek#KR2,[OnFleek],0,0%
